Account.Balance,Duration.of.Credit.Month,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age.years,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Credit_Application_Result
Some Balance,6,Paid Up,Home Related,672,None,< 1yr,1,None,4,1,54,Other Banks/Depts,2,1,1,1,2,1,0.930960703930181
Some Balance,6,No Problems (in this bank),Home Related,1740,None,4-7 yrs,2,None,2,1,30,Other Banks/Depts,1,More than 1,1,1,1,1,0.930844682333814
Some Balance,6,No Problems (in this bank),Home Related,1343,None,4-7 yrs,1,None,4,1,46,Other Banks/Depts,2,More than 1,1,2,1,2,0.930450071271579
Some Balance,10,No Problems (in this bank),Used car,2069,£100-£1000,< 1yr,2,None,1,3,26,Other Banks/Depts,2,More than 1,1,1,1,2,0.930314516557242
Some Balance,9,Paid Up,Home Related,3577,< £100,< 1yr,1,Yes,2,1,26,Other Banks/Depts,1,1,1,2,1,2,0.930094003382774
Some Balance,12,No Problems (in this bank),Used car,1935,None,4-7 yrs,4,None,4,1,43,Other Banks/Depts,2,More than 1,1,1,2,1,0.927553539070929
Some Balance,10,No Problems (in this bank),Used car,2146,None,< 1yr,1,None,3,1,23,Other Banks/Depts,1,More than 1,1,1,1,1,0.925192625677101
Some Balance,10,Paid Up,Used car,2210,None,< 1yr,2,None,2,1,25,Other Banks/Depts,1,1,1,1,1,1,0.923881238590054
Some Balance,15,Paid Up,New car,3812,< £100,< 1yr,1,None,4,3,23,Other Banks/Depts,2,1,1,1,2,1,0.922794405368537
Some Balance,10,Paid Up,Home Related,1418,< £100,< 1yr,3,None,2,1,35,Other Banks/Depts,1,1,1,1,1,2,0.921339468863686
Some Balance,6,No Problems (in this bank),Home Related,1299,None,< 1yr,1,None,1,1,74,Other Banks/Depts,2,More than 1,1,2,1,2,0.920955135086734
Some Balance,6,Paid Up,Home Related,518,None,< 1yr,3,None,1,1,29,Other Banks/Depts,2,1,1,1,1,1,0.920702704889826
Some Balance,24,No Problems (in this bank),New car,4679,None,1-4 yrs,3,None,3,3,35,Other Banks/Depts,2,More than 1,1,1,2,1,0.92051012465287
Some Balance,9,Paid Up,Home Related,2507,£100-£1000,4-7 yrs,2,None,4,4,51,Other Banks/Depts,3,1,1,1,1,1,0.917903160922187
Some Balance,6,No Problems (in this bank),Home Related,1323,< £100,4-7 yrs,2,None,4,3,28,Other Banks/Depts,2,More than 1,1,2,2,1,0.915241502946352
Some Balance,12,Paid Up,Used car,2251,None,< 1yr,1,None,2,3,46,Other Banks/Depts,2,1,1,1,1,1,0.915113663135077
Some Balance,24,Paid Up,New car,6313,£100-£1000,4-7 yrs,3,None,4,3,41,Other Banks/Depts,2,1,1,2,2,1,0.914814142311713
Some Balance,12,No Problems (in this bank),Home Related,2096,None,1-4 yrs,2,None,3,1,49,Other Banks/Depts,2,1,1,2,1,1,0.914244048614928
Some Balance,10,No Problems (in this bank),Home Related,1231,None,4-7 yrs,3,None,4,1,32,Other Banks/Depts,2,More than 1,1,2,1,2,0.914149183617375
Some Balance,6,Paid Up,Home Related,1595,None,1-4 yrs,3,None,2,2,51,Other Banks/Depts,2,1,1,2,1,1,0.913620426650723
Some Balance,6,Paid Up,Used car,1766,None,< 1yr,1,None,2,2,21,Other Banks/Depts,1,1,1,1,1,1,0.913374393579774
Some Balance,18,No Problems (in this bank),Used car,3780,None,< 1yr,3,None,2,3,35,Other Banks/Depts,2,More than 1,1,1,2,1,0.912970075406988
Some Balance,24,Paid Up,Used car,3062,£100-£1000,4-7 yrs,4,None,3,4,32,Other Banks/Depts,1,1,1,1,2,1,0.91231920201263
Some Balance,18,Paid Up,Used car,3049,None,< 1yr,1,None,1,2,45,Other Banks/Depts,2,1,1,1,1,1,0.909951039182758
Some Balance,24,No Problems (in this bank),New car,6842,£100-£1000,< 1yr,2,None,4,2,46,Other Banks/Depts,2,More than 1,1,2,2,1,0.909868011503346
Some Balance,12,Paid Up,Used car,1574,None,< 1yr,4,None,2,1,50,Other Banks/Depts,2,1,1,1,1,1,0.906599925337027
Some Balance,6,No Problems (in this bank),Home Related,1237,< £100,< 1yr,1,None,1,2,27,Other Banks/Depts,2,More than 1,1,1,1,1,0.906498229003785
Some Balance,6,No Problems (in this bank),Home Related,935,None,< 1yr,3,None,2,1,24,Other Banks/Depts,2,1,1,1,1,1,0.906134434834796
Some Balance,12,No Problems (in this bank),Home Related,3565,£100-£1000,< 1yr,2,None,1,2,37,Other Banks/Depts,2,More than 1,1,2,1,1,0.905970116464653
Some Balance,24,No Problems (in this bank),Used car,1585,None,1-4 yrs,4,None,3,2,40,Other Banks/Depts,2,More than 1,1,1,1,1,0.90462720286597
Some Balance,6,No Problems (in this bank),Home Related,683,None,< 1yr,2,None,1,2,29,Other Banks/Depts,2,1,1,1,1,1,0.903653596038932
Some Balance,12,No Problems (in this bank),Home Related,939,£100-£1000,1-4 yrs,4,None,2,1,28,Other Banks/Depts,2,More than 1,1,1,2,1,0.903055618865623
Some Balance,12,Paid Up,Used car,1768,None,< 1yr,3,None,2,1,24,Other Banks/Depts,1,1,1,1,1,1,0.902146653732507
Some Balance,12,No Problems (in this bank),Home Related,1655,None,4-7 yrs,2,None,4,1,63,Other Banks/Depts,2,More than 1,1,1,2,1,0.901508541383273
Some Balance,10,Paid Up,Home Related,894,£100-£1000,1-4 yrs,4,None,3,2,40,Other Banks/Depts,2,1,1,1,2,1,0.898848895607389
Some Balance,18,Paid Up,Used car,3422,None,4-7 yrs,4,None,4,2,47,Other Banks/Depts,2,More than 1,1,2,2,1,0.898292981372213
Some Balance,6,No Problems (in this bank),Home Related,2080,£100-£1000,< 1yr,1,None,2,3,24,Other Banks/Depts,2,1,1,1,1,1,0.897438648753934
Some Balance,15,Paid Up,Used car,2708,None,< 1yr,2,None,3,2,27,Other Banks/Depts,2,More than 1,1,1,1,1,0.897150267618923
Some Balance,18,No Problems (in this bank),Used car,1808,None,1-4 yrs,4,None,1,1,22,Other Banks/Depts,2,1,1,1,1,1,0.896074160747423
Some Balance,24,Paid Up,Home Related,2397,£100-£1000,4-7 yrs,3,None,2,3,35,Other Banks/Depts,2,More than 1,1,1,2,1,0.895118959160644
Some Balance,12,No Problems (in this bank),Home Related,618,None,4-7 yrs,4,None,4,1,56,Other Banks/Depts,2,1,1,1,1,1,0.894488428082227
Some Balance,6,Paid Up,Home Related,1238,£100-£1000,< 1yr,4,None,4,2,36,Other Banks/Depts,2,1,1,2,2,1,0.894313568536434
Some Balance,24,Paid Up,Home Related,3621,< £100,4-7 yrs,2,None,4,3,31,Other Banks/Depts,2,More than 1,1,1,1,1,0.893883507040885
Some Balance,6,Paid Up,Home Related,3518,None,< 1yr,2,Yes,3,2,26,Other Banks/Depts,1,1,1,1,1,1,0.89362900422738
Some Balance,6,No Problems (in this bank),Home Related,1554,None,1-4 yrs,1,None,2,3,24,Other Banks/Depts,1,More than 1,1,1,2,1,0.893161297663521
Some Balance,30,No Problems (in this bank),New car,7596,£100-£1000,4-7 yrs,1,None,4,3,63,Other Banks/Depts,2,More than 1,1,1,1,1,0.893043309365507
Some Balance,22,Paid Up,Home Related,2675,£100-£1000,4-7 yrs,3,None,4,3,40,Other Banks/Depts,2,1,1,1,1,1,0.892670516283509
Some Balance,12,No Problems (in this bank),Home Related,1163,£100-£1000,< 1yr,4,None,4,1,44,Other Banks/Depts,2,1,1,1,2,1,0.891890942450405
Some Balance,18,No Problems (in this bank),Home Related,2320,None,< 1yr,2,None,3,1,34,Other Banks/Depts,2,More than 1,1,1,1,1,0.890675978318542
Some Balance,27,No Problems (in this bank),Used car,4526,£100-£1000,< 1yr,4,None,2,1,32,Other Banks/Depts,2,More than 1,1,2,2,1,0.889967505328616
Some Balance,12,Paid Up,New car,4675,£100-£1000,< 1yr,1,None,4,3,20,Other Banks/Depts,1,1,1,1,1,1,0.889058108329617
Some Balance,21,Paid Up,New car,5248,£100-£1000,< 1yr,1,None,3,3,26,Other Banks/Depts,2,1,1,1,1,1,0.8885201577666
Some Balance,36,No Problems (in this bank),New car,5842,None,4-7 yrs,2,None,2,2,35,Other Banks/Depts,2,More than 1,1,2,2,1,0.888440144427471
Some Balance,24,Paid Up,Used car,3972,None,1-4 yrs,2,None,4,2,25,Other Banks/Depts,1,1,1,1,2,1,0.887943411975712
Some Balance,21,Paid Up,Home Related,1572,£100-£1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,1,1,1,1,1,0.887869715053848
Some Balance,12,No Problems (in this bank),Home Related,522,£100-£1000,4-7 yrs,4,None,4,2,42,Other Banks/Depts,2,More than 1,1,2,2,1,0.887697563763738
No Account,6,No Problems (in this bank),Used car,3384,None,< 1yr,1,None,4,1,44,Other Banks/Depts,1,1,1,1,2,1,0.886640965479272
Some Balance,36,Paid Up,Home Related,3835,£100-£1000,4-7 yrs,2,None,4,1,45,Other Banks/Depts,2,1,1,1,2,1,0.886591683869728
Some Balance,12,No Problems (in this bank),Home Related,976,£100-£1000,4-7 yrs,4,None,4,3,35,Other Banks/Depts,2,More than 1,1,1,1,1,0.885238317203229
Some Balance,12,Paid Up,Home Related,1542,None,1-4 yrs,2,None,4,3,36,Other Banks/Depts,2,1,1,1,2,1,0.882844635019198
Some Balance,12,No Problems (in this bank),Home Related,1495,None,4-7 yrs,4,None,1,1,38,Other Banks/Depts,2,More than 1,1,2,1,1,0.881743792675236
Some Balance,24,No Problems (in this bank),Home Related,3148,£100-£1000,< 1yr,3,None,2,3,31,Other Banks/Depts,2,More than 1,1,1,2,1,0.881472721776339
Some Balance,10,Paid Up,Home Related,1597,£100-£1000,< 1yr,3,None,2,4,40,Other Banks/Depts,1,1,1,2,1,2,0.881350147562533
Some Balance,10,Paid Up,Home Related,1924,None,< 1yr,1,None,4,2,38,Other Banks/Depts,2,1,1,1,2,2,0.879584860141842
Some Balance,6,No Problems (in this bank),Home Related,1382,None,< 1yr,1,None,1,3,28,Other Banks/Depts,2,More than 1,1,1,2,1,0.879503505167419
Some Balance,10,Paid Up,Home Related,727,£100-£1000,4-7 yrs,4,None,4,4,46,Other Banks/Depts,3,1,1,1,2,1,0.879410800330306
Some Balance,24,Paid Up,New car,7814,None,1-4 yrs,3,None,3,3,38,Other Banks/Depts,2,1,1,1,2,1,0.878993970834182
Some Balance,18,Paid Up,Home Related,2662,£100-£1000,1-4 yrs,4,None,3,2,32,Other Banks/Depts,2,1,1,1,1,2,0.878254642696477
Some Balance,10,No Problems (in this bank),Home Related,1347,£100-£1000,1-4 yrs,4,None,2,2,27,Other Banks/Depts,2,More than 1,1,1,2,1,0.877209552860403
Some Balance,24,No Problems (in this bank),Home Related,2611,None,4-7 yrs,4,Yes,3,1,46,Other Banks/Depts,2,More than 1,1,1,1,1,0.876698414189106
Some Balance,18,No Problems (in this bank),Home Related,629,£100-£1000,4-7 yrs,4,None,3,2,32,Other Banks/Depts,2,More than 1,1,1,2,1,0.876575373525256
Some Balance,10,Paid Up,Home Related,1287,£100-£1000,4-7 yrs,4,Yes,2,2,45,Other Banks/Depts,2,1,1,1,1,2,0.875065585797734
No Account,24,Paid Up,New car,2812,£100-£1000,4-7 yrs,2,None,4,1,26,Other Banks/Depts,1,1,1,1,1,1,0.874701986715542
Some Balance,12,Paid Up,Home Related,2390,£100-£1000,4-7 yrs,4,None,3,3,50,Other Banks/Depts,2,1,1,1,2,1,0.873212670541138
Some Balance,9,Paid Up,Home Related,1236,None,< 1yr,1,None,4,1,23,Other Banks/Depts,1,1,1,1,2,1,0.873008164913968
Some Balance,12,Paid Up,Home Related,1076,None,< 1yr,2,None,2,1,26,Other Banks/Depts,2,1,1,1,2,1,0.871902331319503
Some Balance,12,No Problems (in this bank),Home Related,1255,None,4-7 yrs,4,None,4,1,61,Other Banks/Depts,2,More than 1,1,1,1,1,0.870598698634103
Some Balance,12,Paid Up,Home Related,1101,None,< 1yr,3,None,2,1,27,Other Banks/Depts,2,More than 1,1,1,2,1,0.870553433070848
Some Balance,12,Paid Up,Home Related,640,None,< 1yr,4,None,2,1,49,Other Banks/Depts,2,1,1,1,1,1,0.86925023122611
Some Balance,24,No Problems (in this bank),Home Related,2424,£100-£1000,4-7 yrs,4,None,4,2,53,Other Banks/Depts,2,More than 1,1,1,1,1,0.868952269003643
Some Balance,12,Paid Up,Home Related,2073,< £100,< 1yr,4,Yes,2,1,28,Other Banks/Depts,2,1,1,1,1,1,0.868770475830688
Some Balance,24,Paid Up,Home Related,1474,< £100,< 1yr,4,None,3,1,33,Other Banks/Depts,2,1,1,1,2,1,0.867183348215718
Some Balance,15,Paid Up,Home Related,1262,£100-£1000,1-4 yrs,4,None,3,2,36,Other Banks/Depts,2,More than 1,1,1,2,1,0.866900459991188
Some Balance,12,Paid Up,Home Related,707,None,< 1yr,4,None,2,1,30,Other Banks/Depts,2,More than 1,1,1,1,1,0.866415100669229
Some Balance,12,No Problems (in this bank),Home Related,1480,£100-£1000,< 1yr,2,None,4,4,66,Other Banks/Depts,3,More than 1,1,1,1,1,0.865004197478212
Some Balance,15,No Problems (in this bank),Home Related,1316,£100-£1000,< 1yr,2,None,2,2,47,Other Banks/Depts,2,More than 1,1,1,1,1,0.864212273349525
Some Balance,21,Paid Up,Home Related,2923,< £100,< 1yr,1,None,1,3,28,Other Banks/Depts,2,1,1,1,2,1,0.863995153110529
Some Balance,15,Paid Up,Home Related,1979,£100-£1000,4-7 yrs,4,None,2,3,35,Other Banks/Depts,2,1,1,1,1,1,0.863779188286383
Some Balance,12,Paid Up,Home Related,3077,None,< 1yr,2,None,4,3,52,Other Banks/Depts,2,1,1,1,2,1,0.863066648502426
Some Balance,24,No Problems (in this bank),Home Related,2223,< £100,4-7 yrs,4,None,4,2,52,Other Banks/Depts,2,More than 1,1,1,1,1,0.862654894532413
No Account,6,Paid Up,Used car,428,None,4-7 yrs,2,None,1,2,49,Other Banks/Depts,2,1,1,1,2,1,0.861276101622265
Some Balance,48,Paid Up,Home Related,3914,£100-£1000,< 1yr,4,None,2,1,38,Other Banks/Depts,2,1,1,1,1,1,0.86053046973726
Some Balance,15,No Problems (in this bank),Home Related,1271,£100-£1000,< 1yr,3,None,4,4,39,Other Banks/Depts,3,More than 1,1,1,2,1,0.860308789987136
Some Balance,24,Paid Up,Home Related,1525,£100-£1000,1-4 yrs,4,None,3,3,34,Other Banks/Depts,2,1,1,2,2,1,0.860223531344728
Some Balance,12,Some Problems,Used car,2759,None,4-7 yrs,2,None,4,2,34,Other Banks/Depts,2,More than 1,1,1,1,1,0.857084233125568
Some Balance,21,No Problems (in this bank),Home Related,2319,None,< 1yr,2,None,1,3,33,Other Banks/Depts,1,1,1,1,1,1,0.855880836554421
Some Balance,15,Paid Up,Home Related,3556,£100-£1000,< 1yr,3,None,2,4,29,Other Banks/Depts,2,1,1,1,1,1,0.853029200958692
Some Balance,24,No Problems (in this bank),Home Related,2058,None,< 1yr,4,None,2,1,33,Other Banks/Depts,2,More than 1,1,1,2,1,0.85234204806562
Some Balance,12,Paid Up,Home Related,2133,£100-£1000,4-7 yrs,4,None,4,4,52,Other Banks/Depts,3,1,1,1,2,1,0.851628630051992
Some Balance,36,Paid Up,New car,4686,None,< 1yr,2,None,2,4,32,Other Banks/Depts,3,1,1,1,2,1,0.850626353660548
Some Balance,10,No Problems (in this bank),Home Related,781,None,4-7 yrs,4,None,4,4,63,Other Banks/Depts,3,More than 1,1,1,2,1,0.850349326811499
No Account,10,No Problems (in this bank),Used car,2132,£100-£1000,< 1yr,2,Yes,3,1,27,Other Banks/Depts,1,More than 1,1,1,1,2,0.849429228723971
Some Balance,36,No Problems (in this bank),Used car,7678,£100-£1000,1-4 yrs,2,None,4,3,40,Other Banks/Depts,2,More than 1,1,1,2,1,0.848639098643357
No Account,12,No Problems (in this bank),New car,1804,< £100,< 1yr,3,None,4,2,44,Other Banks/Depts,2,1,1,1,1,1,0.848434296687714
Some Balance,24,No Problems (in this bank),Home Related,2375,£100-£1000,< 1yr,4,None,2,3,44,Other Banks/Depts,2,More than 1,1,2,2,1,0.848406635110857
No Account,18,Paid Up,Used car,3001,None,1-4 yrs,2,None,4,1,40,Other Banks/Depts,1,1,1,1,1,1,0.847927797627608
Some Balance,15,No Problems (in this bank),Home Related,1478,None,< 1yr,4,None,3,1,33,Other Banks/Depts,2,More than 1,1,1,1,1,0.847577478568563
Some Balance,12,No Problems (in this bank),Home Related,1264,£100-£1000,4-7 yrs,4,None,4,4,57,Other Banks/Depts,1,1,1,1,1,1,0.847122783377174
Some Balance,6,Some Problems,Home Related,783,£100-£1000,< 1yr,1,Yes,2,1,26,Other Banks/Depts,2,1,1,2,1,1,0.847023794438163
No Account,12,Paid Up,New car,3386,None,4-7 yrs,3,None,4,4,35,Other Banks/Depts,3,1,1,1,2,1,0.845783662444132
Some Balance,6,Some Problems,Home Related,1750,£100-£1000,4-7 yrs,2,None,4,2,45,Other Banks/Depts,2,1,1,2,1,1,0.845047350129168
Some Balance,12,Paid Up,Home Related,1963,None,1-4 yrs,4,None,2,3,31,Other Banks/Depts,1,More than 1,1,2,2,1,0.844383511936004
Some Balance,15,Paid Up,Home Related,1213,£100-£1000,4-7 yrs,4,None,3,2,47,Other Banks/Depts,2,1,1,1,2,1,0.844269645771896
No Account,6,Paid Up,New car,1352,£100-£1000,< 1yr,1,None,2,2,23,Other Banks/Depts,1,1,1,1,2,1,0.843237188693876
Some Balance,42,No Problems (in this bank),New car,4796,None,4-7 yrs,4,None,4,4,56,Other Banks/Depts,3,1,1,1,1,1,0.842800082018685
Some Balance,24,No Problems (in this bank),Used car,5150,None,4-7 yrs,4,None,4,3,33,Other Banks/Depts,2,1,1,1,2,1,0.842684511340965
Some Balance,18,Paid Up,Home Related,2051,None,< 1yr,4,None,1,1,33,Other Banks/Depts,2,1,1,1,1,1,0.842068316029217
Some Balance,24,Paid Up,Home Related,2255,£100-£1000,< 1yr,4,None,1,2,54,Other Banks/Depts,2,1,1,1,1,1,0.841683718878456
Some Balance,12,Paid Up,Home Related,804,None,4-7 yrs,4,None,4,3,38,Other Banks/Depts,2,1,1,1,1,1,0.841571798417724
Some Balance,18,Paid Up,Home Related,433,None,< 1yr,3,Yes,4,1,22,Other Banks/Depts,1,1,1,1,1,1,0.841417547039786
Some Balance,36,No Problems (in this bank),Home Related,3342,£100-£1000,4-7 yrs,4,None,2,3,51,Other Banks/Depts,2,1,1,1,2,1,0.84080010462292
Some Balance,12,No Problems (in this bank),Home Related,1934,None,4-7 yrs,2,None,2,4,26,Other Banks/Depts,2,More than 1,1,1,1,1,0.840796285624829
Some Balance,30,No Problems (in this bank),Home Related,6742,£100-£1000,1-4 yrs,2,None,3,2,36,Other Banks/Depts,2,More than 1,1,1,1,1,0.840633222502602
Some Balance,12,Paid Up,Home Related,1881,None,< 1yr,2,None,2,3,44,Other Banks/Depts,1,1,1,1,2,1,0.840369337791084
Some Balance,15,No Problems (in this bank),Home Related,1532,< £100,< 1yr,4,None,3,3,31,Other Banks/Depts,2,1,1,1,1,1,0.839018301178805
Some Balance,15,Paid Up,Home Related,3568,None,4-7 yrs,4,None,2,3,54,Other Banks/Depts,1,1,1,1,2,1,0.837881125886848
Some Balance,24,No Problems (in this bank),Home Related,2538,None,4-7 yrs,4,None,4,3,47,Other Banks/Depts,2,More than 1,1,2,1,1,0.837765926595172
Some Balance,18,No Problems (in this bank),Home Related,1530,None,< 1yr,3,None,2,2,32,Other Banks/Depts,2,More than 1,1,1,1,1,0.83721231396465
Some Balance,18,No Problems (in this bank),Used car,1817,None,< 1yr,4,None,2,4,28,Other Banks/Depts,2,More than 1,1,1,1,1,0.837209515788173
Some Balance,15,No Problems (in this bank),Home Related,5045,£100-£1000,4-7 yrs,1,None,4,3,59,Other Banks/Depts,2,1,1,1,2,1,0.837001350446614
Some Balance,12,No Problems (in this bank),Home Related,1412,None,< 1yr,4,Yes,2,1,29,Other Banks/Depts,2,More than 1,1,1,2,1,0.836444080446555
Some Balance,9,Paid Up,Home Related,1478,None,1-4 yrs,4,None,2,3,22,Other Banks/Depts,2,1,1,1,1,1,0.835400053673674
Some Balance,36,Paid Up,Used car,3349,None,< 1yr,4,None,2,3,28,Other Banks/Depts,2,1,1,1,2,1,0.835146535821424
Some Balance,12,Paid Up,Home Related,776,None,< 1yr,4,None,2,1,28,Other Banks/Depts,2,1,1,1,1,1,0.834436745928373
Some Balance,24,No Problems (in this bank),Home Related,3863,None,< 1yr,1,None,2,4,32,Other Banks/Depts,3,1,1,1,1,1,0.833823160056025
Some Balance,15,Paid Up,Home Related,874,£100-£1000,< 1yr,4,None,1,1,24,Other Banks/Depts,2,1,1,1,1,1,0.832973532611499
Some Balance,18,Paid Up,Home Related,1950,None,1-4 yrs,4,None,1,3,34,Other Banks/Depts,2,More than 1,1,1,2,1,0.832770172771868
No Account,6,Paid Up,Home Related,2647,£100-£1000,< 1yr,2,None,3,1,44,Other Banks/Depts,1,1,1,2,1,1,0.831893430477824
Some Balance,11,No Problems (in this bank),Home Related,7228,None,< 1yr,1,None,4,2,39,Other Banks/Depts,2,More than 1,1,1,1,1,0.831409991627187
Some Balance,12,Paid Up,Home Related,1297,None,< 1yr,3,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1,0.829904891595616
Some Balance,36,No Problems (in this bank),New car,8947,£100-£1000,1-4 yrs,3,None,2,3,31,Other Banks/Depts,2,1,1,2,2,1,0.827648213331006
Some Balance,12,Some Problems,Home Related,409,£100-£1000,< 1yr,3,None,3,1,42,Other Banks/Depts,1,More than 1,1,1,1,1,0.825863782174731
Some Balance,18,Paid Up,Home Related,1126,£100-£1000,< 1yr,4,None,2,1,21,Other Banks/Depts,1,1,1,1,2,1,0.825584657926656
Some Balance,15,Paid Up,Home Related,5324,£100-£1000,4-7 yrs,1,None,4,4,35,Other Banks/Depts,3,1,1,1,1,1,0.825345207513812
Some Balance,12,Paid Up,Home Related,1393,None,4-7 yrs,4,None,4,2,47,Other Banks/Depts,2,More than 1,1,2,2,1,0.823949149887905
Some Balance,12,Paid Up,Home Related,3016,None,< 1yr,3,None,1,3,24,Other Banks/Depts,2,1,1,1,1,1,0.82323359667965
Some Balance,12,No Problems (in this bank),Home Related,1291,None,< 1yr,4,None,2,2,35,Other Banks/Depts,2,More than 1,1,1,1,1,0.822885856854398
No Account,9,No Problems (in this bank),Home Related,1288,< £100,4-7 yrs,3,Yes,4,1,48,Other Banks/Depts,2,More than 1,1,2,1,2,0.822699682889941
Some Balance,18,No Problems (in this bank),Home Related,1169,£100-£1000,< 1yr,4,None,3,2,29,Other Banks/Depts,2,More than 1,1,1,2,1,0.822671734031113
No Account,24,Paid Up,New car,2760,£100-£1000,4-7 yrs,4,None,4,4,36,Other Banks/Depts,3,1,1,1,2,1,0.822322742015245
Some Balance,15,Paid Up,Home Related,4623,< £100,< 1yr,3,None,2,2,40,Other Banks/Depts,2,1,1,1,2,1,0.822301416362352
